ID ACTIVAS,CLIENTES,MARCA,AÑO
5002,YFAI RAMOS,International,2017
4815,CAPACITACION,International,2017
5495,TUPY RAMOS,International,2018
6128,VASCOR,International,2019
6472,MAGNA CLOUSURES,International,2019
14016,DAIMLER,Mercedes,2024
13872,MABE SALTILLO,Volkswagen,2024
15164,JOHN DEERE SALTILLO,International,2024
2769,TRANFERENCIA,Dina,2014
2767,GANFER SALTILLO,Dina,2014
4816,TUPY SALTILLO,International,2017
5560,TUPY SALTILLO,International,2018
12996,MABE SALTILLO,International,2023
14015,DAIMLER,Mercedes,2024
15293,YFAI STA MARIA,International,2025
16123,MAGNA POWERTRAIN,International,2025
3223,DISPONIBLE,Dina,2014
4814,TUPY RAMOS,International,2017
6126,MAGNA CLOUSURES,International,2019
6470,CVG,International,2019
7250,NOVA STEEL,International,2019
15770,BECARIOS DAIMLER,Nissan,2024
12995,MABE SALTILLO,International,2023
14006,DAIMLER,Mercedes,2024
15292,YFAI STA MARIA,International,2025
16107,MAGNA POWERTRAIN,International,2025
2797,GANFER SALTILLO,Dina,2014
13244,JOHN DEERE SALTILLO,International,2023
14005,DAIMLER,Mercedes,2024
15291,YFAI STA MARIA,International,2025
16106,MAGNA POWERTRAIN,International,2025
7252,MAGNA CLOUSURES,International,2019
11130,JOHN DEERE SALTILLO,International,2022
13243,JOHN DEERE SALTILLO,International,2023
14047,DAIMLER,Mercedes,2024
15290,YFAI STA MARIA,International,2025
16105,MAGNA POWERTRAIN,International,2025
11131,JOHN DEERE SALTILLO,International,2022
13242,YFAI DERRAMADERO,International,2023
14003,DAIMLER,Mercedes,2024
14046,DAIMLER,Mercedes,2024
15289,YFAI STA MARIA,International,2025
14937,NOVA STEEL,Mercedes,2024
16104,MAGNA POWERTRAIN,International,2025
11132,JOHN DEERE SALTILLO,International,2022
13241,JOHN DEERE SALTILLO,International,2023
14002,DAIMLER,Mercedes,2024
14045,DAIMLER,Mercedes,2024
15288,OIEGSA,International,2025
16103,MAGNA POWERTRAIN,International,2025
